"AnswerCorrectness","AnswerRelevancy","Faithfulness","ContextRelevance","ContextRecall"
0.7318813933721102,0.30072010238883046,1.0,1.0,1.0
0.520544432171774,0.321378601180561,1.0,1.0,1.0
0.6815853785837185,0.3658853992138658,1.0,1.0,1.0
0.421592713292287,0.22641086490023796,1.0,0.25,0.0
0.9353291567489024,0.3651386590750753,1.0,1.0,1.0
0.4650117118123167,0.2100051224977231,1.0,1.0,1.0
0.8542897697859493,0.7021059244168234,0.75,1.0,1.0
0.07071603677843524,0.0,0.0,1.0,1.0
0.7218207363319529,0.0,0.6,1.0,1.0
0.44089010778155346,0.4323615122212725,0.5,1.0,0.0
0.500295177250935,0.591899322961437,0.8837209302325582,1.0,1.0
0.5884045368328266,0.7534307639452208,1.0,1.0,1.0
0.5001040860574402,0.3335099597984936,0.8888888888888888,1.0,0.6666666666666666
0.827347083253787,0.37583648322370583,0.9142857142857143,1.0,0.6
0.6352703511081752,0.0,0.625,1.0,0.875
0.5032346025583827,0.43497676784168443,1.0,1.0,1.0
0.46101959269325565,0.4624658730134632,1.0,1.0,0.5
0.42873802579460085,0.4828549997128262,1.0,1.0,0.6666666666666666
0.9494698460622101,0.42102963584032893,1.0,1.0,0.6
0.7749351832275615,0.37639893174088135,1.0,1.0,0.75
0.5230401575662991,0.2867501607818108,1.0,1.0,0.5
0.4823157434703397,0.3875106435210826,0.8837209302325582,1.0,1.0
0.5309866253965072,0.11205215067841462,0.9285714285714286,1.0,1.0
0.6939335768853477,0.4960058193820093,0.9444444444444444,1.0,1.0
0.5799615328200479,0.3409276445002241,1.0,1.0,0.5714285714285714
0.3181105699581263,0.4720326855789551,1.0,1.0,0.6666666666666666
0.6366606688349493,0.2447799181884177,1.0,1.0,1.0
0.9594942101191699,0.3742831849740173,1.0,1.0,0.6363636363636364
0.9411259462943891,0.2935819108213675,1.0,1.0,1.0
0.8502001576936354,0.2619639195171857,1.0,1.0,0.8181818181818182
0.3555767320671704,0.274718009583777,0.9722222222222222,1.0,1.0
0.46134479543698276,0.43998676381940777,0.6666666666666666,1.0,0.0
0.4769433038301627,0.41202210309566806,0.5945945945945946,0.75,1.0
0.4199011967769179,0.2434050309576293,0.25925925925925924,0.0,1.0
0.7299429944693907,0.4043911394662601,0.8148148148148148,1.0,1.0
