AnswerCorrectness;AnswerRelevancy;Faithfulness;ContextRelevance;ContextRecall
0.2818055970953603;0.5184157236658248;0.8888888888888888;1.0;0.0
0.058914675309919194;0.0;0.0;0.0;0.5
0.5448884827323843;0.5914965246021798;1.0;1.0;1.0
0.5872020499339499;0.43821118544336235;1.0;1.0;1.0
0.5713706327540001;0.3826026378084866;1.0;1.0;1.0
0.9734851740195523;0.43929759279741076;1.0;1.0;1.0
0.7215259736682591;0.41480536743994817;1.0;1.0;0.5
0.5313198364765027;0.3277751438583449;1.0;1.0;1.0
0.4869684020895644;0.4121668546550837;1.0;1.0;1.0
0.5994942602556572;0.2239912014863418;1.0;1.0;1.0
0.7470246806410035;0.6540710529506346;1.0;1.0;0.6666666666666666
0.15831407675542167;0.3651687742139819;1.0;1.0;0.0
0.16397717495900194;0.5605033382796075;1.0;1.0;1.0
0.6880305578798089;0.2678149254418462;1.0;1.0;1.0
0.5509907108341507;0.3539881265431714;1.0;1.0;1.0
0.7589108484514316;0.2822497701299984;0.8;1.0;1.0
